Time (min),Force (N),Position (mm)
3.41,326,8.6545
3.41,326,8.6633
3.42,326,8.6721
3.42,326,8.6812
3.42,326,8.6905
3.43,326,8.6993
3.43,326,8.7081
3.43,326,8.7170
3.44,326,8.7262
3.44,326,8.7354
3.45,326,8.7440
3.45,326,8.7529
3.45,326,8.7620
3.46,326,8.7714
3.46,326,8.7802
3.46,326,8.7890
3.47,326,8.7980
3.47,326,8.8072
3.47,326,8.8163
3.48,325,8.8249
3.48,325,8.8338
3.48,325,8.8428
3.49,325,8.8522
3.49,325,8.8609
3.49,325,8.8698
3.50,325,8.8787
3.50,325,8.8880
3.51,325,8.8971
3.51,324,8.9058
3.51,324,8.9147
3.52,324,8.9237
3.52,324,8.9330
3.52,323,8.9417
3.53,323,8.9505
3.53,322,8.9595
3.53,322,8.9688
3.54,320,8.9778
3.54,318,8.9865
